,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04
135,99142,97229,Portland,OR,Portland,Multnomah,136,209800.0,209700.0,210700.0,212800.0,215700.0,219000.0,222400.0,225400.0,227700.0,229500.0,231100.0,232600.0,233800.0,234800.0,235900.0,237200.0,238600.0,239900.0,240900.0,241700.0,241900.0,242100.0,242400.0,242700.0,242400.0,241700.0,240900.0,240600.0,240700.0,241200.0,241900.0,242800.0,243700.0,244800.0,246400.0,248100.0,249600.0,250800.0,251700.0,252500.0,253100.0,253500.0,253600.0,253700.0,253800.0,254400.0,255800.0,257500.0,259200.0,260600.0,261900.0,263100.0,264300.0,265400.0,266400.0,267300.0,268700.0,270700.0,273300.0,276000.0,278300.0,279900.0,281100.0,282100.0,282900.0,283600.0,283700.0,283400.0,283500.0,284500.0,286000.0,287400.0,288500.0,289100.0,289600.0,290500.0,291800.0,293200.0,294100.0,294600.0,295600.0,297400.0,299900.0,302500.0,304400.0,305400.0,306300.0,307700.0,309500.0,311100.0,311700.0,311300.0,311000.0,311900.0,314300.0,317200.0,319500.0,321200.0,323600.0,328300.0,335000.0,342500.0,349100.0,354000.0,358200.0,363100.0,368700.0,373700.0,376700.0,377100.0,376600.0,377700.0,382000.0,391500.0,408100.0,430500.0,448700.0,453300.0,445300.0,435900.0,437300.0,452300.0,469600.0,475900.0,468400.0,454100.0,440800.0,432100.0,430600.0,436300.0,446300.0,457400.0,467300.0,474100.0,478400.0,482200.0,485200.0,485800.0,482800.0,476300.0,468000.0,461100.0,455100.0,449300.0,442800.0,435900.0,429400.0,425900.0,424500.0,424100.0,423000.0,420900.0,418900.0,418500.0,418100.0,416500.0,414000.0,410400.0,406700.0,405100.0,405300.0,406200.0,406700.0,406200.0,406600.0,403500.0,401600.0,400700.0,397400.0,391600.0,388400.0,383700.0,380700.0,379600.0,378500.0,378400.0,377700.0,376700.0,376700.0,378200.0,379100.0,379300.0,379000.0,379400.0,379700.0,379400.0,379000.0,378500.0,377800.0,378100.0,378600.0,378300.0,377900.0,379200.0,381000.0,383400.0,386000.0,389400.0,393800.0,397700.0,399800.0,403300.0,408200.0,414100.0,420400.0,425500.0,429000.0,433100.0,436900.0,439300.0,441200.0,443600.0,446300.0,449100.0,451300.0,453000.0,455200.0,457600.0,460200.0,463100,465600,467700,470000,472100,473800,476100,479000,481700,484700,489500,494200,498400,502000,506100,510300,515200,520900,526500,530000,533300,538800,545900,552600,557100,559500,560600,559900,558500,559300,562200,563200,563300,564300,564400,562600,561800,563100,565600,567700,569200,570000,570200,571500,573800,574800
285,99252,97402,Eugene,OR,Eugene,Lane,286,97800.0,98000.0,98200.0,98600.0,99000.0,99600.0,100400.0,101400.0,102500.0,103800.0,105100.0,106300.0,107500.0,108500.0,109300.0,109800.0,110000.0,109900.0,109600.0,109200.0,108700.0,108100.0,107700.0,107500.0,107400.0,107500.0,107800.0,108200.0,108600.0,109100.0,109700.0,110200.0,110600.0,111000.0,111300.0,111500.0,111800.0,112100.0,112400.0,112800.0,113300.0,113700.0,114200.0,114600.0,115100.0,115600.0,116000.0,116500.0,116900.0,117300.0,117600.0,117900.0,118300.0,118600.0,119000.0,119400.0,119900.0,120400.0,120900.0,121300.0,121700.0,121800.0,121900.0,121900.0,122000.0,122100.0,122300.0,122700.0,123300.0,124100.0,124900.0,125800.0,126400.0,127000.0,127300.0,127600.0,127800.0,128000.0,128200.0,128600.0,129000.0,129300.0,129500.0,129900.0,130400.0,131100.0,132100.0,133100.0,134200.0,135400.0,136600.0,137800.0,139000.0,140200.0,141300.0,142400.0,143500.0,144600.0,145800.0,147100.0,148500.0,150000.0,151600.0,153200.0,154900.0,156600.0,158300.0,160100.0,162300.0,164700.0,167400.0,170200.0,173100.0,176000.0,178900.0,181600.0,184200.0,186600.0,188700.0,191000.0,193300.0,195500.0,197400.0,199000.0,200300.0,201200.0,201800.0,202100.0,202500.0,203000.0,203500.0,204300.0,205400.0,206100.0,206500.0,206800.0,206800.0,206800.0,206600.0,206400.0,205900.0,205000.0,203800.0,202700.0,202000.0,201000.0,199700.0,198100.0,196100.0,194000.0,192400.0,191200.0,190300.0,189400.0,188100.0,186700.0,185200.0,183200.0,181100.0,179700.0,178900.0,178600.0,178900.0,179800.0,180300.0,180900.0,182000.0,181100.0,178000.0,175800.0,175300.0,174700.0,173700.0,172000.0,169500.0,166300.0,163200.0,160000.0,157100.0,155300.0,154500.0,153400.0,151800.0,150600.0,149700.0,148700.0,147700.0,146800.0,146000.0,145300.0,144800.0,144000.0,143300.0,142700.0,142300.0,141700.0,141300.0,141700.0,142400.0,143000.0,143500.0,144600.0,146300.0,148500.0,150800.0,153900.0,156800.0,159000.0,161300.0,163000.0,163600.0,164400.0,165300.0,166400.0,167600.0,168800.0,169800.0,170800.0,171800.0,172500,172900,173500,174600,175000,175500,176300,176500,176600,177700,178400,178500,179200,180300,180900,181800,183400,184600,185000,185900,188000,190000,191800,194500,197600,200000,202000,204300,207300,210700,213900,216200,218100,220300,222600,224600,226300,227800,229500,231300,233100,235000,237000,238400,239800,240900
418,99048,97045,Oregon City,OR,Portland,Clackamas,419,150000.0,150700.0,151200.0,151600.0,151900.0,152200.0,152500.0,152800.0,153300.0,154000.0,154900.0,155800.0,156900.0,158000.0,159000.0,159800.0,160400.0,160700.0,160700.0,160300.0,159700.0,159000.0,158200.0,157200.0,156300.0,155700.0,155400.0,155500.0,156000.0,156900.0,158000.0,159300.0,160900.0,162500.0,164000.0,165300.0,166300.0,167000.0,167600.0,168100.0,168400.0,168600.0,168800.0,168800.0,168800.0,168800.0,168800.0,168700.0,168600.0,168500.0,168300.0,168300.0,168500.0,168900.0,169600.0,170500.0,171600.0,172900.0,174200.0,175300.0,176000.0,176100.0,175800.0,175300.0,174800.0,174500.0,174600.0,175200.0,176300.0,177900.0,179900.0,182000.0,183800.0,185200.0,186200.0,186700.0,187200.0,187600.0,188000.0,188800.0,189500.0,189600.0,189000.0,188800.0,189200.0,190300.0,192000.0,194300.0,196800.0,199500.0,202000.0,204000.0,205500.0,206700.0,207300.0,207800.0,208600.0,210500.0,213300.0,216800.0,220300.0,223500.0,226600.0,229600.0,232800.0,236400.0,240500.0,245100.0,250100.0,255200.0,260100.0,264700.0,269000.0,273000.0,276600.0,279900.0,283300.0,286500.0,289400.0,291900.0,294300.0,296300.0,298300.0,300700.0,303300.0,305900.0,308400.0,310500.0,312500.0,314100.0,315000.0,315700.0,316700.0,317400.0,317800.0,318300.0,318200.0,317500.0,316300.0,314800.0,313500.0,312400.0,311100.0,310100.0,309100.0,307300.0,304700.0,301600.0,298000.0,294300.0,291000.0,288000.0,285800.0,284000.0,282000.0,279800.0,277400.0,274200.0,270700.0,268000.0,265700.0,263700.0,262300.0,261700.0,261100.0,261200.0,262800.0,262200.0,258500.0,255700.0,253900.0,250600.0,246800.0,244300.0,243400.0,242700.0,240300.0,237100.0,234300.0,232300.0,231000.0,230300.0,229400.0,228600.0,228000.0,227600.0,226800.0,225900.0,224800.0,224000.0,222800.0,222100.0,222900.0,225000.0,227000.0,229200.0,232400.0,235600.0,236800.0,236900.0,237500.0,238700.0,240700.0,243900.0,247400.0,249800.0,251800.0,254100.0,255800.0,257200.0,259100.0,261400.0,264700.0,267600.0,269100.0,270800.0,273000.0,274800.0,276500.0,278700,280900,282400,283600,285000,286300,288200,290500,291800,292900,295600,299600,304100,308800,312300,315100,318700,322900,327200,331000,334900,339300,344000,348500,352000,354200,356400,359300,362100,364600,366400,367700,369700,372000,373200,373500,373600,374600,376500,379200,381500,384400,387500,391400,397000,401700
458,99251,97401,Eugene,OR,Eugene,Lane,459,140500.0,141100.0,141700.0,142200.0,142800.0,143500.0,144300.0,145100.0,146200.0,147500.0,148800.0,150000.0,151100.0,151900.0,152400.0,152500.0,152400.0,152000.0,151500.0,151000.0,150500.0,150200.0,150000.0,149700.0,149500.0,149300.0,149100.0,149000.0,148900.0,148900.0,149100.0,149400.0,149900.0,150600.0,151400.0,152100.0,152700.0,153200.0,153500.0,153800.0,154100.0,154300.0,154600.0,155000.0,155600.0,156500.0,157500.0,158400.0,159200.0,159900.0,160300.0,160700.0,161000.0,161300.0,161700.0,162100.0,162700.0,163600.0,164500.0,165300.0,165900.0,166300.0,166300.0,166100.0,165800.0,165400.0,165100.0,165000.0,165100.0,165600.0,166500.0,167400.0,168200.0,169000.0,169700.0,170200.0,170600.0,171000.0,171600.0,172800.0,174200.0,174900.0,174900.0,175100.0,175400.0,176000.0,177200.0,178900.0,181000.0,183200.0,185400.0,187500.0,189300.0,190900.0,192300.0,193500.0,194700.0,196000.0,197800.0,200000.0,202800.0,205900.0,209200.0,212400.0,215400.0,218300.0,221200.0,224500.0,228500.0,233000.0,237900.0,243000.0,248100.0,252900.0,257300.0,261400.0,265000.0,268400.0,271400.0,274300.0,277500.0,280700.0,283500.0,285700.0,287500.0,288600.0,289400.0,289700.0,290200.0,290900.0,291600.0,292400.0,293200.0,293300.0,292700.0,292400.0,292300.0,292000.0,291300.0,290400.0,289100.0,287400.0,285300.0,283600.0,282500.0,280900.0,278500.0,275800.0,272900.0,269800.0,267200.0,265400.0,264400.0,263500.0,262100.0,260700.0,259300.0,256900.0,254100.0,252000.0,250500.0,249200.0,248700.0,249300.0,250200.0,251200.0,252700.0,252100.0,249500.0,247800.0,248400.0,249400.0,249700.0,248600.0,246400.0,242700.0,238500.0,234600.0,231600.0,229000.0,226300.0,224600.0,223500.0,220700.0,218000.0,217700.0,218300.0,218900.0,219800.0,220700.0,222000.0,223800.0,225900.0,228000.0,229100.0,229900.0,231000.0,232600.0,233800.0,234400.0,234200.0,234300.0,234600.0,235400.0,236700.0,238400.0,240100.0,242400.0,244600.0,245900.0,246400.0,247100.0,247600.0,248500.0,250100.0,251500.0,252400.0,253800.0,255500.0,257100,258400,259500,260200,260700,262200,264200,265500,266800,269200,271200,272800,275400,277700,278600,279700,281500,282500,282300,282700,284800,287800,289400,290200,291200,292400,293400,295600,299200,303800,307600,309900,311300,313000,315700,318100,319200,320200,321900,323400,324800,326800,329100,331400,334500,337000
539,99093,97124,Hillsboro,OR,Portland,Washington,540,149700.0,150500.0,151400.0,152500.0,153700.0,154900.0,156000.0,157000.0,158000.0,159000.0,159900.0,160600.0,161100.0,161300.0,161500.0,161600.0,161800.0,161900.0,162000.0,162100.0,162500.0,163200.0,164000.0,164700.0,165400.0,165900.0,166400.0,167000.0,167500.0,168000.0,168300.0,168400.0,168700.0,169200.0,169700.0,170000.0,170100.0,170200.0,170100.0,170100.0,170200.0,170200.0,170000.0,169800.0,169800.0,170100.0,170400.0,170700.0,170800.0,170800.0,170700.0,170700.0,171000.0,171200.0,171300.0,171400.0,171700.0,172300.0,173300.0,174300.0,175000.0,175600.0,176200.0,177100.0,178100.0,179200.0,180000.0,180400.0,181000.0,182000.0,183300.0,184500.0,185400.0,185900.0,186300.0,187100.0,188100.0,189000.0,189500.0,189700.0,190000.0,190900.0,192300.0,193800.0,194600.0,194700.0,194600.0,195000.0,195800.0,196700.0,197000.0,196800.0,196700.0,197400.0,199000.0,200800.0,202100.0,203000.0,204300.0,207100.0,211200.0,215700.0,219400.0,221900.0,224100.0,226900.0,230100.0,233000.0,234100.0,233300.0,231800.0,231900.0,234600.0,241200.0,253100.0,269100.0,282100.0,285400.0,280200.0,274900.0,278300.0,291700.0,306600.0,312400.0,306900.0,295700.0,284800.0,277300.0,275000.0,277600.0,283300.0,290100.0,296300.0,300300.0,303100.0,306100.0,308800.0,310000.0,308800.0,304900.0,300100.0,295600.0,291600.0,287800.0,283500.0,278300.0,273500.0,270800.0,269600.0,269000.0,268000.0,266300.0,264700.0,263600.0,262300.0,260600.0,258400.0,255000.0,252000.0,250800.0,251000.0,251500.0,251800.0,251900.0,250800.0,250200.0,251300.0,250400.0,246400.0,242600.0,239400.0,235000.0,231900.0,230000.0,228100.0,226900.0,226300.0,225000.0,224000.0,224200.0,224400.0,224100.0,223200.0,222500.0,222000.0,221800.0,221500.0,220800.0,220000.0,219500.0,219800.0,220300.0,220400.0,220800.0,221700.0,223200.0,224700.0,226500.0,228800.0,230300.0,231200.0,233000.0,235400.0,238200.0,241400.0,244100.0,246600.0,249800.0,252900.0,255400.0,257600.0,259500.0,261800.0,264300.0,265300.0,265900.0,268000.0,270400.0,272400.0,273900,274700,274900,276100,278100,279800,281200,283300,286100,289000,292500,296300,300100,303600,306900,310300,313800,317700,321700,324600,327000,330200,334400,339200,343500,347100,349900,352300,354700,357700,360300,361800,362800,364500,366300,367200,367900,369700,371800,372700,372800,373600,374300,375400,378700,381300
620,99341,97504,Medford,OR,Medford,Jackson,621,139500.0,139600.0,139400.0,139000.0,138400.0,137700.0,137000.0,136400.0,136200.0,136400.0,136600.0,136800.0,136800.0,136700.0,136300.0,135600.0,134500.0,133200.0,131700.0,130100.0,128700.0,127800.0,127200.0,126700.0,126400.0,126500.0,126900.0,127600.0,128500.0,129500.0,130700.0,131700.0,132600.0,133500.0,134000.0,134100.0,133900.0,133700.0,133600.0,133700.0,134000.0,134700.0,135900.0,137400.0,139200.0,141400.0,143800.0,145900.0,147800.0,149400.0,150500.0,151300.0,151700.0,151900.0,152000.0,152000.0,152200.0,152700.0,153400.0,154100.0,154900.0,155600.0,156200.0,156700.0,157000.0,157200.0,157400.0,157600.0,157800.0,158400.0,159300.0,160300.0,161300.0,162400.0,163400.0,164400.0,165600.0,167100.0,168600.0,170800.0,173100.0,174000.0,173600.0,173500.0,174000.0,175500.0,178100.0,181600.0,185500.0,189300.0,192700.0,195500.0,197900.0,200300.0,202900.0,205400.0,208100.0,211200.0,214900.0,219200.0,224000.0,229200.0,235000.0,241100.0,247900.0,254900.0,261800.0,268400.0,274500.0,279600.0,283700.0,287000.0,289800.0,292300.0,294600.0,296100.0,296900.0,297400.0,298000.0,299000.0,300300.0,301600.0,302600.0,302900.0,302700.0,302200.0,301400.0,299800.0,297900.0,296200.0,294600.0,293200.0,291800.0,290100.0,287900.0,285100.0,282100.0,279400.0,277000.0,274400.0,271800.0,269300.0,267000.0,264900.0,262700.0,260000.0,256600.0,252700.0,248800.0,245400.0,242200.0,238900.0,235400.0,232000.0,228800.0,225900.0,223100.0,220100.0,217000.0,214500.0,212500.0,211200.0,210300.0,209400.0,208700.0,208300.0,208300.0,207500.0,205900.0,204700.0,204200.0,204000.0,203200.0,200700.0,197800.0,196200.0,195300.0,194100.0,191700.0,188200.0,184900.0,182500.0,181000.0,180400.0,179600.0,178400.0,177100.0,175900.0,174900.0,174500.0,174500.0,174900.0,175600.0,176100.0,176200.0,175900.0,176100.0,176800.0,177600.0,178800.0,180900.0,183300.0,185500.0,187900.0,190400.0,192700.0,194500.0,196300.0,198400.0,200200.0,202100.0,203500.0,204000.0,204100.0,205900.0,208500.0,211100.0,213500.0,215600.0,217600,219400,222200,225300,226900,226400,226100,226600,227400,227900,229000,231400,233000,233600,234700,236200,237300,239400,242200,244600,247400,250100,251500,252100,253700,256200,259100,261600,264900,268700,271500,272800,274300,277200,280800,283900,286400,288500,290000,291800,293500,294800,296000,297500,298900,300000
644,99120,97206,Portland,OR,Portland,Multnomah,645,96600.0,97600.0,98600.0,99600.0,100700.0,101700.0,102700.0,103800.0,104900.0,106100.0,107200.0,108200.0,109200.0,110100.0,110900.0,111700.0,112400.0,113100.0,113700.0,114300.0,115000.0,115600.0,116200.0,116700.0,117100.0,117600.0,117900.0,118300.0,118800.0,119200.0,119600.0,120200.0,120800.0,121300.0,121800.0,122200.0,122600.0,122900.0,123200.0,123600.0,123900.0,124300.0,124800.0,125200.0,125700.0,126200.0,126700.0,127000.0,127300.0,127500.0,127800.0,128000.0,128300.0,128700.0,129100.0,129700.0,130300.0,130900.0,131500.0,132000.0,132400.0,132700.0,133000.0,133300.0,133700.0,134100.0,134600.0,135200.0,135800.0,136500.0,137200.0,137900.0,138500.0,139100.0,139800.0,140400.0,141100.0,141900.0,142800.0,143700.0,144800.0,146000.0,147200.0,148300.0,149300.0,150200.0,151000.0,151700.0,152500.0,153200.0,153900.0,154600.0,155300.0,156000.0,156700.0,157500.0,158500.0,159600.0,160800.0,162100.0,163400.0,164700.0,166100.0,167500.0,169000.0,170600.0,172400.0,174500.0,176900.0,179700.0,182700.0,186000.0,189300.0,192700.0,196000.0,199100.0,201900.0,204600.0,207200.0,209800.0,212500.0,215200.0,217800.0,220200.0,222200.0,224000.0,225600.0,227000.0,228100.0,229400.0,230800.0,232100.0,233300.0,234700.0,235700.0,236400.0,236800.0,237200.0,237500.0,237500.0,237200.0,237200.0,237100.0,236400.0,235200.0,234000.0,232500.0,230500.0,228300.0,226600.0,225400.0,224100.0,222600.0,221600.0,220400.0,218500.0,216000.0,213500.0,211400.0,210400.0,210500.0,211200.0,212300.0,213300.0,214100.0,213700.0,213300.0,214100.0,215500.0,215500.0,214100.0,212000.0,210000.0,206500.0,202300.0,199800.0,199100.0,197900.0,195600.0,192700.0,189700.0,187400.0,186600.0,187100.0,186800.0,186500.0,186200.0,185500.0,184500.0,183900.0,184100.0,184800.0,185400.0,186100.0,187200.0,188000.0,189300.0,191100.0,192800.0,194000.0,195500.0,197500.0,200100.0,203200.0,207300.0,211700.0,215500.0,218800.0,221800.0,223900.0,225900.0,227800.0,228900.0,229800.0,231600.0,233400.0,234800.0,235900.0,236900.0,237800,238900,241000,243800,246100,247700,250300,253700,256600,259500,263800,268500,274300,281100,288000,294100,300000,305500,309900,313100,317700,324700,332600,339500,344100,346800,350100,354100,358200,362400,366400,369200,370000,370000,370900,371600,371200,371600,371900,372000,373000,374900,377100,379600,381800,382200
670,99255,97405,Eugene,OR,Eugene,Lane,671,141200.0,141400.0,141700.0,142200.0,142700.0,143400.0,144200.0,145300.0,146500.0,147900.0,149400.0,151000.0,152400.0,153600.0,154500.0,155000.0,155300.0,155200.0,155000.0,154500.0,153800.0,153000.0,152300.0,151500.0,150600.0,149800.0,149100.0,148600.0,148400.0,148400.0,148700.0,149100.0,149600.0,150200.0,150900.0,151500.0,152000.0,152300.0,152600.0,152800.0,153000.0,153200.0,153400.0,153600.0,153900.0,154300.0,154800.0,155100.0,155300.0,155400.0,155300.0,155200.0,155000.0,154900.0,154900.0,155200.0,155600.0,156400.0,157400.0,158300.0,159300.0,160100.0,160700.0,161300.0,161800.0,162300.0,162700.0,163100.0,163700.0,164400.0,165200.0,166000.0,166800.0,167600.0,168400.0,169200.0,169900.0,170700.0,171500.0,172500.0,173600.0,174300.0,174700.0,175100.0,175700.0,176400.0,177200.0,178300.0,179600.0,181200.0,182900.0,184700.0,186500.0,188300.0,189800.0,191200.0,192500.0,194100.0,196100.0,198600.0,201300.0,204100.0,207100.0,210000.0,213000.0,216000.0,219100.0,222600.0,226900.0,231600.0,236500.0,241600.0,246800.0,251800.0,256700.0,261400.0,265700.0,269700.0,273400.0,277400.0,281500.0,285200.0,288300.0,291000.0,293000.0,294000.0,294200.0,293900.0,293300.0,293000.0,292900.0,293200.0,293700.0,293600.0,293100.0,293000.0,293300.0,293500.0,293800.0,294100.0,294000.0,293500.0,292500.0,292100.0,292000.0,291100.0,289400.0,287500.0,285100.0,282200.0,279900.0,278300.0,277100.0,276000.0,274400.0,272900.0,271300.0,268700.0,265600.0,263600.0,262400.0,261600.0,261600.0,262800.0,264400.0,265700.0,267000.0,264800.0,259800.0,256700.0,256300.0,255500.0,254800.0,253400.0,250500.0,246500.0,243000.0,239700.0,237500.0,237200.0,237800.0,239100.0,239800.0,238200.0,235500.0,234300.0,234300.0,234000.0,233000.0,232600.0,231700.0,229400.0,227500.0,227200.0,228200.0,229800.0,231800.0,233500.0,234900.0,236100.0,237000.0,237800.0,239500.0,242900.0,247500.0,250100.0,250400.0,250300.0,251500.0,253100.0,253700.0,253500.0,253900.0,255300.0,256900.0,258200.0,258800.0,259800.0,261000.0,262600,263900,264600,265700,266900,267900,269000,269800,271400,274000,275300,275700,276900,278000,278400,279200,281200,282400,282200,282300,284200,286500,288500,291300,294400,296900,298800,301000,303100,306000,308900,310800,311700,313100,315200,317400,319000,320100,321200,322600,324600,327000,329500,331600,332900,333100
706,99388,97702,Bend,OR,Bend,Deschutes,707,160300.0,160300.0,160300.0,160400.0,160700.0,161500.0,163100.0,165900.0,169800.0,174600.0,180400.0,186700.0,192800.0,197800.0,201400.0,203400.0,203800.0,202800.0,200600.0,197500.0,193300.0,188600.0,183700.0,178700.0,173400.0,168500.0,164200.0,160700.0,157900.0,155900.0,154700.0,154100.0,154000.0,154300.0,154900.0,155800.0,156600.0,157500.0,158500.0,159500.0,160500.0,161300.0,161900.0,162500.0,162900.0,163500.0,164300.0,165100.0,165800.0,166500.0,167300.0,168200.0,169400.0,170900.0,172500.0,174300.0,176300.0,178500.0,180800.0,183300.0,185700.0,187900.0,189900.0,191700.0,193500.0,195200.0,197000.0,199000.0,201300.0,204000.0,206700.0,209100.0,211000.0,212300.0,212800.0,212800.0,212400.0,211900.0,211300.0,211200.0,211500.0,211700.0,211800.0,211700.0,211100.0,210200.0,209100.0,208100.0,207500.0,207100.0,206500.0,205200.0,203100.0,200300.0,197700.0,196300.0,196900.0,199500.0,203500.0,208300.0,213200.0,218100.0,222900.0,227400.0,231900.0,236200.0,240400.0,245000.0,250400.0,256800.0,263900.0,271600.0,279600.0,288100.0,297000.0,306000.0,314900.0,323300.0,331000.0,338100.0,344600.0,350100.0,355300.0,360400.0,364400.0,366900.0,368000.0,367800.0,366600.0,364900.0,362700.0,360100.0,357100.0,353400.0,348900.0,344000.0,338900.0,333900.0,329200.0,325000.0,321500.0,318800.0,316400.0,313900.0,310600.0,306100.0,300300.0,293900.0,287600.0,281600.0,275400.0,269200.0,263100.0,257600.0,252500.0,247700.0,242700.0,237400.0,231900.0,226900.0,222900.0,219800.0,217500.0,215800.0,214800.0,214700.0,215200.0,214300.0,212300.0,210800.0,210100.0,208900.0,208100.0,207900.0,208600.0,209400.0,210000.0,210500.0,209900.0,208300.0,206700.0,205600.0,204600.0,204300.0,204200.0,203300.0,202400.0,202900.0,203600.0,203800.0,204700.0,206900.0,208800.0,209900.0,211600.0,214200.0,216800.0,219800.0,222800.0,225100.0,227000.0,229200.0,231200.0,234300.0,239500.0,246000.0,252400.0,257600.0,261400.0,264300.0,267300.0,270600.0,273400.0,274800.0,275700.0,277200.0,279700.0,282900.0,286600.0,289800,292600,295800,299100,301100,301800,303500,307200,311800,315800,320000,324100,327600,331300,334400,336500,339300,342500,344700,346000,347300,349100,351300,353100,355400,358900,362200,364100,365400,368700,373900,377800,379400,380300,381700,383700,386700,390300,392900,393300,392900,393300,394400,398000,405000,411100
764,99178,97301,Salem,OR,Salem,Marion,765,83400.0,83700.0,84100.0,84500.0,84900.0,85300.0,85700.0,86100.0,86600.0,87100.0,87600.0,88000.0,88300.0,88700.0,89200.0,89700.0,90200.0,90700.0,91300.0,92100.0,93000.0,94100.0,95100.0,96000.0,97000.0,97900.0,98900.0,99800.0,100700.0,101600.0,102500.0,103400.0,104300.0,105100.0,105800.0,106300.0,106700.0,106800.0,106700.0,106500.0,106100.0,105500.0,104900.0,104200.0,103600.0,103100.0,102600.0,102000.0,101600.0,101200.0,101100.0,101000.0,101100.0,101300.0,101700.0,102200.0,102900.0,103700.0,104500.0,105300.0,106200.0,107000.0,107900.0,108700.0,109500.0,110100.0,110600.0,111100.0,111500.0,111800.0,112000.0,112200.0,112200.0,112300.0,112400.0,112500.0,112700.0,112900.0,113100.0,113500.0,113900.0,114500.0,115100.0,115800.0,116500.0,117300.0,118000.0,118700.0,119400.0,119900.0,120300.0,120500.0,120600.0,120700.0,120900.0,121400.0,121800.0,122200.0,122500.0,122700.0,123000.0,123600.0,124300.0,125300.0,126400.0,127500.0,128500.0,129600.0,130700.0,131800.0,133200.0,134800.0,136400.0,138200.0,140200.0,142000.0,143800.0,145300.0,146700.0,148100.0,149700.0,151300.0,152900.0,154500.0,156100.0,157600.0,159000.0,160200.0,161500.0,162800.0,163900.0,165000.0,166300.0,167500.0,168300.0,168900.0,169200.0,169200.0,168800.0,168200.0,167300.0,166200.0,165100.0,164200.0,163700.0,163300.0,162700.0,161900.0,160700.0,159400.0,158100.0,156800.0,155700.0,154700.0,153400.0,152000.0,150900.0,149700.0,148300.0,147200.0,146200.0,145200.0,144300.0,143400.0,142800.0,142500.0,142400.0,141100.0,139100.0,137600.0,136900.0,135700.0,134800.0,133600.0,132500.0,131600.0,130100.0,127900.0,126500.0,125600.0,123600.0,121400.0,119500.0,117500.0,115200.0,113600.0,112600.0,112300.0,112800.0,113400.0,113800.0,114500.0,115700.0,116500.0,116500.0,116800.0,117400.0,117800.0,118400.0,118000.0,117300.0,116900.0,116800.0,116900.0,117100.0,117300.0,118200.0,120000.0,121600.0,123300.0,124400.0,125000.0,125700.0,127000.0,128200.0,128900.0,129900.0,131200.0,132200.0,132400,132800,133300,133900,134400,134800,134900,134800,134600,134900,136100,137700,139100,140200,141000,141900,143400,145600,147700,149300,151200,153700,155800,158200,161500,164700,166500,168100,170000,171300,172800,174300,175300,176500,178700,180600,182300,184100,186500,189400,192300,195000,197200,200100,204200,207400
